bf_sha,bi_sha
e48cd3e59d82ce352d161109987f283ecc369b66,163cc2a22c9662fe79dd8eeacc0fd9fb197a6565
731649a2c91d5bdfcc572c7e2c43e5ae6c3458dd,03d9e24bc6a10c3bea737678606d74f7c6fb86fc
f74c5d7a69fb3dda67fb26c1c0250d48e29fe359,7e30623c7b5a30c2a9c9761736d8d493e2a8c968
1d92b9a5c01e00062fe68ed33ffaa855fdb5a45c,a8e0dc180e8b360c4e72eca7c131b2826eceaedd
0bcded74e124d14ddd505823ac0ad479b90ac8fb,178f0a180a5d659f4f550c1bbacef77d4e4dd780
a4d905f3455ee6b6f2a594baf1961cc73234fffe,ffbc73ffa6d85735666fd0ec98ae30f418d42d93
89b296fd544c25a36d0abb11f6cd0b6333542068,534778acf8a25814e153af4ea88d636b011ab2c0
0243702b35421949b0353d3b08de04cfcdec7fea,747226b1d6dc6d57fd28332b4c2a4b0c4ad7a59c
dcf503dd5a48dcc43ab0796209906af356276405,253407b69c4584af56d2d43e731e3073316fa67e
b6e661e24a3f5993ba24df9819e61f8ed028a115,96dd926f4ae1073067637009ed88cbe2a103e1fb
1c76ad58a8ef40533e3185baf221e8d551359996,8c1175054f028ef00d219c054b66fd6634eca020
f7770883a4e9f8f002dd2d99287903be577b2dd4,7db81e3d6cf042ac474a1fe41f7d9c90f2f7dec3
493bfe0e1426297ec4dee448bd10232529722c22,63c48992274fce84b2c08bf8bbe6df024736557c
d354f7cf847d7f346bdc9bd98da690c21277eb0e,c8a84fd37d9077bed999d104751face7d39a01bb
8d161ff99e1e4f1f0bfa4b2c5e590abc590df42d,6d5fe3bb8ada4d0aceb5d6221140637dc60ab47d
f506835fa810c177c8c93a7d0ef24d05570b21fe,3d5b44956dd6b860b8367b25d5858ad7db0cd141
93ae72d15f2b767c41ffc4458d95d4c64e3cc74d,862edc8fe177faede47a4ea09f7c3cdb9a4abff7
